0,0,0,0,0,0,0,0,0
0.005,0.0077291,108.96,1221.9,1.6423,1116.3,0,0.7311,0
0.01,0.023606,108.93,1223.8,3.2879,1116.3,0,0.51765,0.0015406
0.015,0.047648,108.89,1225.6,4.9368,1116.3,0,0.42312,0.0043722
0.02,0.07987,108.85,1227.5,6.5891,1116.3,0.01,0.36679,0.0080573
0.025,0.12029,108.81,1229.4,8.2447,1116.3,0.01,0.32835,0.012442
0.03,0.16892,108.78,1231.3,9.9036,1116.3,0.01,0.29999,0.017439
0.035,0.22579,108.74,1233.1,11.566,1116.3,0.01,0.27795,0.022989
0.04,0.2909,108.7,1235,13.231,1116.3,0.01,0.26018,0.02905
0.045,0.36427,108.66,1236.9,14.9,1116.3,0.01,0.24547,0.035589
0.05,0.44593,108.62,1238.7,16.573,1116.3,0.01,0.23302,0.042581
0.055,0.53588,108.59,1240.6,18.248,1116.3,0.02,0.22231,0.050004
0.06,0.63414,108.55,1242.5,19.927,1116.3,0.02,0.21298,0.057841
0.065,0.74074,108.51,1244.4,21.61,1116.3,0.02,0.20474,0.066077
0.07,0.85568,108.47,1246.2,23.295,1116.3,0.02,0.1974,0.074699
0.075,0.97898,108.43,1248.1,24.984,1116.3,0.02,0.19081,0.083695
0.08,1.1107,108.4,1250,26.677,1116.3,0.02,0.18485,0.093057
0.085,1.2507,108.36,1251.8,28.372,1116.3,0.03,0.17942,0.10278
0.09,1.3992,108.32,1253.7,30.071,1116.3,0.03,0.17445,0.11284
0.095,1.5561,108.28,1255.6,31.774,1116.3,0.03,0.16988,0.12325
0.1,1.7215,108.24,1257.4,33.48,1116.3,0.03,0.16565,0.134
0.105,1.8953,108.2,1259.3,35.189,1116.3,0.03,0.16173,0.14507
0.11,2.0777,108.17,1261.2,36.901,1116.3,0.03,0.15809,0.15647
0.115,2.2685,108.13,1263.1,38.617,1116.3,0.03,0.15468,0.16819
0.12,2.4678,108.09,1264.9,40.336,1116.3,0.04,0.15149,0.18022
0.125,2.6756,108.05,1266.8,42.059,1116.3,0.04,0.14849,0.19257
0.13,2.892,108.01,1268.7,43.785,1116.3,0.04,0.14566,0.20522
0.135,3.117,107.97,1270.5,45.515,1116.3,0.04,0.143,0.21818
0.14,3.3505,107.93,1272.4,47.247,1116.3,0.04,0.14048,0.23144
0.145,3.5926,107.89,1274.3,48.984,1116.3,0.04,0.13809,0.245
0.15,3.8434,107.86,1276.2,50.723,1116.3,0.05,0.13582,0.25886
0.155,4.1028,107.82,1278,52.466,1116.3,0.05,0.13366,0.273
0.16,4.3708,107.78,1279.9,54.213,1116.3,0.05,0.1316,0.28745
0.165,4.6475,107.74,1281.8,55.963,1116.3,0.05,0.12964,0.30218
0.17,4.9328,107.7,1283.6,57.716,1116.3,0.05,0.12777,0.3172
0.175,5.2269,107.66,1285.5,59.472,1116.3,0.05,0.12597,0.3325
0.18,5.5297,107.62,1287.4,61.233,1116.3,0.05,0.12425,0.34809
0.185,5.8412,107.58,1289.3,62.996,1116.3,0.06,0.12261,0.36396
0.19,6.1615,107.54,1291.1,64.763,1116.3,0.06,0.12102,0.38011
0.195,6.4905,107.5,1293,66.533,1116.3,0.06,0.1195,0.39654
0.2,6.8283,107.46,1294.9,68.307,1116.3,0.06,0.11804,0.41325
0.205,7.1749,107.42,1296.7,70.084,1116.3,0.06,0.11663,0.43024
0.21,7.5303,107.38,1298.6,71.865,1116.3,0.06,0.11527,0.4475
0.215,7.8946,107.34,1300.5,73.649,1116.3,0.07,0.11396,0.46504
0.22,8.2677,107.3,1302.4,75.436,1116.3,0.07,0.11269,0.48285
0.225,8.6497,107.26,1304.2,77.227,1116.3,0.07,0.11146,0.50093
0.23,9.0405,107.22,1306.1,79.021,1116.3,0.07,0.11028,0.5193
0.235,9.4403,107.18,1308,80.819,1116.3,0.07,0.10913,0.53792
0.24,9.849,107.14,1309.8,82.62,1116.3,0.07,0.10802,0.55682
0.245,10.267,107.1,1311.7,84.425,1116.3,0.08,0.10695,0.576
0.25,10.693,107.06,1313.6,86.233,1116.3,0.08,0.1059,0.59543
0.255,11.129,107.02,1315.5,88.045,1116.3,0.08,0.24032,0.61514
0.26,11.573,106.98,1317.3,89.859,1116.3,0.08,0.23936,1.4551
0.265,12.027,106.94,1319.2,91.676,1116.3,0.08,0.23842,1.5097
0.27,12.489,106.9,1321.1,93.497,1116.3,0.08,0.23751,1.5651
0.275,12.961,106.86,1322.9,95.321,1116.3,0.09,0.23661,1.6217
0.28,13.441,106.82,1324.8,97.148,1116.3,0.09,0.23573,1.6792
0.285,13.931,106.78,1326.7,98.979,1116.3,0.09,0.23487,1.7377
0.29,14.43,106.74,1328.5,100.81,1116.2,0.09,0.23403,1.7972
0.295,14.938,106.7,1330.4,102.65,1116.2,0.09,0.2332,1.8577
0.3,15.455,106.66,1332.3,104.49,1116.2,0.09,0.23239,1.9192
0.305,15.981,106.62,1334.2,106.34,1116.2,0.1,0.23159,1.9817
0.31,16.516,106.58,1336,108.19,1116.2,0.1,0.23081,2.0453
0.315,17.06,106.54,1337.9,110.04,1116.2,0.1,0.23005,2.1098
0.32,17.614,106.5,1339.8,111.89,1116.2,0.1,0.2293,2.1754
0.325,18.177,106.46,1341.6,113.75,1116.2,0.1,0.22856,2.242
0.33,18.749,106.41,1343.5,115.61,1116.2,0.1,0.22784,2.3095
0.335,19.33,106.37,1345.4,117.48,1116.2,0.11,0.22712,2.3782
0.34,19.921,106.33,1347.3,119.35,1116.2,0.11,0.22642,2.4478
