0.455,36.096,163.28,389.7,31.657,1390.3,3.2754
0.46,36.913,165.23,390.4,32.417,1392.2,3.2741
0.465,37.741,167.19,391.1,33.188,1394,3.2728
0.47,38.578,169.15,391.8,33.969,1395.9,3.2714
0.475,39.425,171.11,392.5,34.761,1397.8,3.2701
0.48,40.281,173.08,393.2,35.565,1399.6,3.2688
0.485,41.148,175.05,393.9,36.378,1401.5,3.2675
0.49,42.024,177.02,394.61,37.201,1403.4,3.2661
0.495,42.91,179,395.31,38.036,1405.3,3.2648
0.5,43.805,180.98,396.01,38.881,1407.1,3.2635
0.505,44.711,182.96,396.72,39.737,1409,3.2621
0.51,45.626,184.94,396.92,40.602,1409.2,3.2608
0.515,46.551,186.93,397.12,41.478,1409.5,3.2594
0.52,47.486,188.92,397.33,42.363,1409.7,3.2581
0.525,48.431,190.9,397.53,43.259,1410,3.2568
0.53,49.386,192.89,397.73,44.164,1410.2,3.2554
0.535,50.35,194.88,397.93,45.078,1410.4,3.2541
0.54,51.325,196.87,398.14,46.002,1410.7,3.2528
0.545,52.309,198.86,398.34,46.937,1410.9,3.2514
0.55,53.303,200.86,398.54,47.881,1411.2,3.2501
0.555,54.307,202.85,398.75,48.835,1411.4,3.2487
0.56,55.321,204.85,398.95,49.798,1411.6,3.2474
0.565,56.345,206.84,399.15,50.772,1411.9,3.2461
0.57,57.378,208.84,399.35,51.756,1412.1,3.2447
0.575,58.422,210.84,399.55,52.749,1412.3,3.2434
0.58,59.475,212.83,399.76,53.752,1412.6,3.242
0.585,60.538,214.83,399.96,54.766,1412.8,3.2407
0.59,61.612,216.84,400.16,55.787,1413.1,3.2394
0.595,62.695,218.84,400.36,56.821,1413.3,3.238
0.6,63.788,220.84,400.56,57.864,1413.5,3.2367
0.605,64.891,222.84,400.76,58.917,1413.8,3.2353
0.61,66.004,224.85,400.97,59.98,1414,3.234
0.615,67.127,226.85,401.17,61.054,1414.3,3.2326
0.62,68.259,228.86,401.37,62.137,1414.5,3.2313
0.625,69.402,230.87,401.57,63.23,1414.7,3.23
0.63,70.555,232.88,401.77,64.334,1415,3.2286
0.635,71.717,234.89,401.97,65.445,1415.2,3.2273
0.64,72.89,236.9,402.17,66.569,1415.5,3.2259
0.645,74.072,238.91,402.37,67.702,1415.7,3.2246
0.65,75.265,240.92,402.57,68.846,1415.9,3.2232
0.655,76.467,242.94,402.77,70,1416.2,3.2219
0.66,77.68,244.95,402.97,71.164,1416.4,3.2205
0.665,78.902,246.97,403.17,72.336,1416.6,3.2192
0.67,80.135,248.98,403.37,73.52,1416.9,3.2179
0.675,81.377,251,403.57,74.715,1417.1,3.2165
0.68,82.629,253.02,403.77,75.919,1417.4,3.2152
0.685,83.892,255.04,403.97,77.132,1417.6,3.2138
